,완전,완전히,아주
귀찮은일이여,0,0,1
귀찮을때,1,0,0
귀한,0,0,1
귀한곳인데요,0,0,1
규ㅣ여웠잔ㄹ아요,1,0,0
귤러가는,0,0,1
그,11,0,0
그거다,2,0,0
그거때문에,0,0,1
그거랑,1,0,0
그거야,1,0,1
그거였어요,1,0,0
그거잖아,1,0,0
그건,1,0,0
그걸,1,0,0
그게,0,0,1
그냥,4,0,62
그녕,0,0,1
그대로,1,0,0
그대로같은데ㅠ,1,0,0
그득,0,0,1
그때가편했지,1,0,0
그래,2,0,0
그래요,1,0,0
그랬겠네요,1,0,0
그런,1,0,0
그럴,1,0,0
그럴듯해,1,0,0
그럴싸한,0,0,1
그럼,1,0,0
그렇게,1,0,0
그렇대ㅋㅋㅋ,1,0,0
그렇지,1,0,0
그레잇이네요,0,0,1
그뤠잇,0,0,2
그리고,1,0,0
그리워요,1,0,0
그리워하고이씀니다,1,0,0
그린라이튼데,1,0,0
그림,1,0,0
그림같은,1,0,0
그마음,1,0,0
그만둿다고,0,0,1
그지였고,1,0,0
그지임,1,0,0
그짓말같애,0,0,1
그쪽은,1,0,0
그쳐야,0,1,0
그쳤나봐요,1,0,0
그쳤어요,1,0,0
그친,0,1,0
극과,1,0,0
극과극이에요ㅋㅋㅋ,1,0,0
극극극,1,0,0
극기훈련이었네,1,0,0
극락이네요ㅋㅋㅋㅋㅋ,1,0,0
극락이죠,0,0,1
극비래요,1,0,0
극에,1,0,0
극찬을,0,0,1
극초반,1,0,0
극초반이라,0,0,1
극한의,1,0,1
극혐해,1,0,0
극혐해요,1,0,0
극호까진아닌데,1,0,0
근데,1,0,0
근무유연제였어요,1,0,0
근수저,1,0,0
근육도,1,0,0
근육맨,1,0,0
근육맨이당,1,0,0
근육몬이야,1,0,0
근육빵빵,1,0,0
근육질,1,0,0
근접했습니다,0,0,1
근질거려서,0,0,1
근처군,0,0,1
근처네,1,0,0
근처네요,1,0,0
근처는,1,0,1
긁어모아요,1,0,0
금ㅈ,0,0,1
금방,2,0,1
금방이당,1,0,0
금방이얌,3,0,0
금방이에요,0,0,1
금손아니에요,1,0,0
금손이시네요,2,0,0
금융,1,0,0
금으로만된거라,1,0,0
급하구나,1,0,0
급할,0,0,1
긍정맨이얌,1,0,0
긔욤ㅋㅋㅋㅋㅋㅋㅋ,1,0,0
긔찮음을,0,0,1
기가막혔어요ㅠ,0,0,1
기가막힙니다ㅎ,0,0,1
기겁해서,1,0,0
기계친데,1,0,0
기깔나게,0,0,1
기깔나는거,0,0,1
기나긴,0,0,1
기다렸다는듯이,0,0,2
기다리던겅ㅋㅋㅋㅋㅋ,1,0,0
기대,1,0,0
기대가,0,0,1
기대돼,4,0,0
기대돼요,1,0,0
기대되겠는데요ㅠㅠㅠㅠㅠ,1,0,0
기대되겠다,1,0,0
기대되네요,2,0,1
기대되는군,0,0,1
기대되요,1,0,0
기대되용,1,0,0
기대된다,4,0,0
기대됩니당,1,0,0
기대만땅,1,0,0
기대주잉에요,1,0,0
기대중,2,0,0
기대중이라궁,0,0,1
기대중이야,1,0,0
기대중이얌,1,0,1
기대중이어요,1,0,0
기대중이에요,5,0,0
기대중이에욧,1,0,0
기대중입니다,2,0,0
기대즁ㅎㅎㅎㅎㅎ,1,0,0
기대하고,1,0,0
기대하구있어요,1,0,0
기독교신가요,1,0,0
기름지게,1,0,0
기만이에료,1,0,0
기본,4,0,1
기본만,0,0,2
기본맛,1,0,0
기본부터,0,0,1
기본뼈대만,0,0,1
기본이라,1,0,0
기본적인거야,0,0,1
기본적인걸,1,0,0
기부니가,0,0,1
기분,3,0,2
기분좋아진다,1,0,0
기분파라서,1,0,0
기빨려요,1,0,0
기뻐해야,1,0,0
기쁜,2,0,1
기쁩니다,0,0,1
기어,1,0,0
기어가고,1,0,0
기억에,1,0,0
기억할게요,1,0,0
기업체구나,1,0,0
기여움ㅠㅋㅋㅋ,1,0,0
기여워요,1,0,0
기엽눙ㅋㅋㅋㅋㅋ,1,0,0
기엽습니다,1,0,0
기울었다는데,0,1,0
기원전구시대,1,0,0
기절,1,0,0
기절ㅋㅋㅋㅋㅋ,1,0,0
기절각아냐,1,0,0
기절잠하다,1,0,0
기절할,2,0,0
기절해따,1,0,0
기절했넹,1,0,0
기절했다,1,0,0
기특하구만,0,0,1
기특하도다,0,0,3
기특한데,1,0,0
기특함,0,0,1
기특행,0,0,1
기현상,1,0,0
긴,1,0,0
긴거같아요,1,0,0
긴박한,1,0,0
긴장,1,0,0
긴장감,1,0,0
긴장됐어요ㅠㅠㅋㅋㅋㅋ,1,0,0
긴장을,1,0,0
긴장했더덩,1,0,0
길게,0,0,4
길다,1,0,0
길들여져서,1,0,0
길몽아니야,1,0,0
길몽이죠,0,0,1
길어,3,0,0
길어서,0,0,1
길지,1,0,0
길쭉함,1,0,0
길치,1,0,0
길티플레져,0,0,1
김자빱이지,1,0,0
깊이,0,0,1
까다로움,1,0,0
까다로워요,0,0,1
까다롭구나,0,0,1
까다롭군요,0,0,1
까막눈이에요,1,0,0
까만색,1,0,0
까망고양이가있는데,1,0,0
까매,1,0,0
까매짐,1,0,0
까먹고,1,0,0
까먹고잇엇어,1,0,0
까먹고있어서,1,0,0
까먹고있었는데,1,0,0
까먹고있었다,1,0,0
까먹어서,1,0,0
까먹었다,1,0,0
까먹은겨,1,0,0
까먹음,2,0,0
까묵고,1,0,0
까일꺼같은데여,1,0,0
까지는,1,0,0
까칠하더라구요,0,0,1
깔끔,2,0,1
깔끔하게,3,0,1
깔끔하고,1,0,0
깔끔하기만,1,0,0
깔끔하네,0,0,1
깔끔하더라고요,1,0,0
깔끔한거요,1,0,0
깔끔한맛도,0,0,1
깔끔해서,1,0,0
깔딱고개,0,0,1
깔려있지만요,1,0,0
깜깜하더라구요,1,0,0
깜깜해뎠오,1,0,0
깜놀,2,0,0
깜빡,0,0,1
깜짝,5,0,0
깜찍쓰합ㄴ디ㅏ,0,0,1
깜찍이ㅠㅠ,1,0,0
깜찍이들이에요,1,0,0
깜찍이라구,1,0,0
깜찍했다,1,0,0
깡말랐어,1,0,0
깨가,0,0,1
깨거든,0,1,0
깨꼿하데,0,0,1
깨끗은,1,0,0
깨끗하게,2,0,1
깨끗하더라고요,0,0,1
깨끗합니다ㅎㅋㅋㅋㅋㅋ,0,0,1
깨끗해,1,0,0
깨끗해졌겠네,0,0,1
깨똥,1,0,0
깨버려,1,0,0
깨소금,0,0,1
깨졌다고,1,0,0
깨지긴,1,0,0
깨진다,1,0,0
깬듯,0,1,0
깸ㅋㅋㅋㅋname6가,1,0,0
꺼져버렸으면,0,0,1
꺽이는,1,0,0
껌껌하지는,1,0,0
껌딱지예요,1,0,0
껌벅,0,0,1
껍질,1,0,0
껐지,1,0,0
꼬까옷,1,0,0
꼬꼬마시절에,1,0,0
꼬물이,1,0,0
꼬숩잖아,1,0,0
꼬질꼬질하고,1,0,0
